,sentence
997,"Hera (Samios) standing right on prow, right, holding poppy and ear of grain in outstretched right hand and sceptre in the left hand. Border of dots."
998,"Draped bust of Dionysus, right, wearing ivy wreath; filleted thyrsus over left shoulder."
999,"Eagle standing left on altar, head right,  wings closed, holding a wreath in beak. Border of dots."
1000,Quadripartite incuse square with dotted surfaces.
1001,"Draped bust of Poseidon, right; in front,upright trident."
1002,Dolphin swimming downwards. Ground line. Border of dots.
1003,Pot with two ears of corn and a poppy between.
1004,Quadripartite incuse square with even surfaces.
1005,Ethnic surrounds a small quadripartite square with uneven surfaces; all within incuse square.
1006,"Forepart of prancing horse, right. Border of dots."
1007,"Laureate head of bearded Heracles, left; club behind."
1008,"Artemis (Tauropolos) advancing right, hair bound at her neck, wearing short chiton, cloak and boots, holding a torch in each hand; in the left hand torch upright. Short ground line. Border of dots."
1009,"Laureate bust of Apollo, right, with long curls and chlamys."
1010,"Forepart of prancing horse, left; above in field, barley corn. Border of dots."
1011,"Laureate bust of Apollo, left, wearing chlamys; in front, laurel-branch. Border of dots."
1012,"Veiled and draped bust of Demeter, right; in front two ears of corn and a poppy."
1013,"Veiled and draped bust of Demeter, right; in front two ears of corn and a poppy. Border of dots."
1014,"Veiled and draped bust of Demeter, right, wearing corn wreath; in front two? ears of corn and a poppy."
1015,Pot with two ears of corn and two poppies between.
1016,"Pot with a lid, two ears of corn inside and two poppies between."
1017,"Apollo standing facing, head left,wearing long garment, holding lyre with left hand on a short column to his left."
1018,"Upright club, lion skin to left over it."
1019,"Laureate bust of Apollo, left, wearing chlamys; in front, bow. Border of dots."
1020,"Laureate bust of Apollo, left, wearing chlamys. Border of dots."
1021,"Nude bearded Heracles standing left, lion skin draped over back, holding club in raised right hand, pushing the already lying Cerynean hind with his right knee at its back. Ground line."
1022,"Head of bearded Heracles, left. Border of dots."
1024,"Head of Heracles, left, wearing taenia and lion skin, knotted around neck. Border of dots."
1025,Upright club. Border of dots.
1026,"Upright club, oak wreath around bound at bottom."
1027,Bull standing left. Ground line. Border of dots.
1028,"Laureate head of Claudius, left. Border of dots."
1029,"Laureate head of Claudius, right. Border of dots."
1030,"Emperor (Claudius) standing left on short base, wearing toga, raising turreted city goddess, kneeling in front of him."
1031,"Draped bust of Agrippina I, left. Border of dots."
1032,Three bound ears of corn between two poppies. Border of dots.
1033,"Nude Apollo standing facing, head left, chlamys over shoulder, holding branch in right hand, left resting on sceptre."
1034,"Hera (Samios) standing right on prow, right, high kalathos, veil and long garment; resting both hands on pelleted fillets. Border of dots."
1035,"Apollo (Citharoedus) standing facing, head right, wearing long garment, holding plectrum in lowered right hand and lyre in left arm."
1036,"Apollo (Citharoedus) standing facing, wearing long garment, holding plectrum in lowered right hand and lyre in left arm."
1037,"Forepart of prancing horse, left; above in field, pellet."
1038,"Draped bust of Octavia, right, with ""melon coiffure"" and a long curl falling. Border of dots."
1039,"Forepart of prancing horse, left; in field, two pellets."
1040,"Vine with four bunches of grapes within linear square border; in right and left field, cloverleaf; all within incuse square."
1041,"Vine with six bunches of grapes, three on each side, within linear square; in left field, four dots; all within incuse square."
1042,"Radiate head of Nerva, right."
1043,"Vine with eight bunches of grapes, four on each side, within linear square; in left field, four dots; all within incuse square."
1044,"Vine with six bunches of grapes, three on each side, within linear square; in left field, dot; all within incuse square."
1045,"Togate emperor (Nerva) standing left, holding a branch in outstretched right hand and sceptre in left arm. Ground line. Border of dots."
1046,"Horse prancing left; in field above, lyre. Border of dots."
1047,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head upwards, with raised forepaw, pelleted and filleted thyrsus in left arm; at right, star."
1048,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther leaping left, head right; pelleted and filleted thyrsus in left arm; at left, star with six rays."
1049,"Vine with five bunches of grapes, two on left, three on right, within linear square; in left field, two dots; all within incuse square."
1050,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over altar; pelleted thyrsus in left arm; at left, star with five rays."
1051,"Vine with six bunches of grapes, three on each side, within linear square; in left field, two dots; all within incuse square."
1052,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over altar; pelleted thyrsus in left arm; at left, star with six rays."
1053,"Vine with four bunches of grapes within linear square; in left field, two dots; all within incuse square."
1054,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, pelleted and filleted thyrsus in left arm; at left, star."
1055,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over altar; pelleted and filleted thyrsus in left arm; at left, star with six rays."
1056,"Vine with four bunches of grapes within linear square; in left field, three dots; all within incuse square."
1057,"Tyche standing facing, head left, wearing kalathos, holding rudder in right hand and cornucopia in left arm. Border of dots."
1058,"Laureate bust of Trajan, right; with aegis on left shoulder. Border of dots."
1059,"Horse prancing left; above, owl flying. Border of dots."
1060,"Laureate bust of Hadrian, right; with aegis on left shoulder. Border of dots."
1061,"Bare-headed bust of Hadrian, right, in front of him, long upright sceptre. Border of dots."
1062,"Diademed head of deified Alexander the Great with horn of Ammon, right."
1063,"Nude Apollo advancing right, wearing fluttering chlamys, drawing arrow in right hand from bow in left hand; between his legs, star with six rays."
1064,"Athena (Nikephoros) enthroned left, holding Nike, crowning king's name, in outstretched right hand; left arm resting on shield behind."
1065,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over cista mystica with half-open lid on the right, out of which serpent creeps right; pelleted and filleted thyrsus in left arm."
1066,"Nude Dionysus standing facing, head left, wearing boots, holding patera in outstretched right hand over cista mystica with half-open lid on the right, out of which serpent creeps right; pelleted thyrsus in left arm."
1067,"Draped bust of Faustina I, right."
1068,"Aphrodite standing facing, head right, wearing double chiton and epiblema, holding a long sceptre in right and an apple in outstretched left hand. Border of dots."
1069,"Laureate and cuirassed bust of Septimius Severus, right, seen from behind."
1070,"Athena standing facing, head left, wearing helmet, holding Nike, carrying a wreath, in outstretched right hand and spear in left hand; to left in background shield; to right trophy. Ground line. Border of dots."
1071,"Bust of bearded Marcus Aurelius, right, wearing cuirass and paludamentum."
1072,"Veiled Hera standing facing, head left, wearing stephane, holding patera in outstretched right hand over peacock, left resting on sceptre. Ground line. Border of dots."
1073,"Laureate bust of Septimius Severus, right, wearing cuirass and paludamentum. Border of dots."
1074,"Vine with four bunches of grape, two on each side, within linear square; in left field, four dots; all within incuse square."
1075,"Vine with two bunches of grapes, one on each side, within linear square; in left field, two dots; all within incuse square."
1076,Horse advancing left within incuse square.
1077,Horse prancing left.
1078,"Artemis advancing left, wearing short fluttering chiton and boots, holding bow in right hand and drawing arrow from quiver at shoulder with left hand; at her feet, hound running left."
1079,"Horse prancing left; above, crested Corinthian helmet, right. Border of dots."
1080,"Artemis standing facing, head right, wearing short chiton and boots, holding torch in right hand and bow in outstretched left hand. Border of dots."
1081,"Artemis advancing left, wearing short fluttering chiton and boots, outstretching right arm, holding bow in the left; at side, hound running left. Ground line."
1082,Horse prancing left. Border of dots.
1083,"Vine with four bunches of grapes within linear square; in left field, two rosettes; all within incuse square."
1084,Bunch of grapes on vine branch within dotted linear square; all within incuse square.
1085,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand and pelleted and filleted thyrsus in left arm."
1086,"Agonistic table with lion legs, seen from front, surmounted by prize crown with one palm branch, right; behind, trompete with the mouthpice on left."
1087,"Nude athlete standing facing, right foot advanced, placing with hand into a prize urn."
1088,"Radiate bust of Septimius Severus, right, seen from front, wearing cuirass and paludamentum."
1089,"At left, emperor (Septimius Severus) standing facing, head right, wearing helmet, cuirass and boots, holding spear in right hand and parazonium in left arm; to right, Nike standing left, holding palm branch in left arm, crowning with laurel wreath in right outstretched arm the emperor. Ground line. Border of dots."
1090,"Laureate and cuirassed bust of Geta, right, seen from behind."
1091,"Galley sailing left, in waters; on board, nine rowers and emperor (Septimius Severus) standing facing, head left, raising right arm, holding parazonium in left arm, in front of two standards; in background façade of an octastyle temple on crepidoma with Corinthian columns, shield with umbo on pediment and acroteria on roof. Border of dots."
1092,"Eagle standing facing on thunderbolt, head right, wings spread, holding a wreath in beak."
1093,"Façade of an octastyle temple on double crepidoma with Corinthian columns, shield with umbo on pediment and acroteria on roof. Border of dots."
1094,"Galley sailing left, in waters; on board, ten rowers and emperor (Septimius Severus) standing facing, head left, raising right arm, holding parazonium in left arm, in front of two standards; in background façade of an octastyle temple on crepidoma with Corinthian columns, shield with umbo on pediment and acroteria on roof. Border of dots."
1095,"Nike advancing right, head left, with spread wings and fluttering chiton, holding in both hands transverse trophy, left. Border of dots."
1096,"Turreted Tyche standing facing, head left, holding octastyle temple on outstretched right hand over ligthted altar; in left arm cornucopia."
1097,"Asclepius seated right, head left, holding serpent-staff in right hand, leaning left hand on uncertain object over his knee; serpent's head facing the diety's mouth."
1098,"At left Hygieia standing facing, head right, feeding serpent held in left arm from patera in outstretched right hand; at left, ibis standing left; at right, Asclepius seen from front, head left, leaning on serpent-staff with right hand; between them Telesphorus standing facing. Border of dots."
1099,"Radiate bust of Gordian III, right, seen from front, wearing cuirass; with aegis on left shoulder, gorgoneion on breastplate. Border of dots."
1100,"Nude bearded Heracles advancing right, grasping with right hand the horns of the uprising Cretan Bull, strangling it with left arm, lion skin over head. Border of dots."
1101,"Nude bearded Heracles standing left, wearing lion skin, pushing with right knee the lowered hind quarters of the lying Cerynean hind, holding animal by antlers in both hands; in front of his right foot, club lying to right. Border of dots."
1102,"Turreted Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon; to left Attis, standing facing, head right, wearing Phrygian cap, holding pedum in right hand and palmleaf in left; beside throne, lion seated left. Border of dots."
1103,"Nike standing facing, head left, holding cestus in outstretched right hand and palm branch in left arm. Border of dots."
1104,"Laureate and bearded emperor (Septimius Severus) standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding façade of hexastyle temple in right hand and spear in left arm. Ground line. Border of dots."
1105,"Emperor (Septimius Severus) in military attire standing facing, head left, wearing cuirass and boots, holding Nike in right hand and spear in left hand; behind him Nike standing facing, head left, wearing long garment, crowning emperor with laurel wreath in right hand, holding palm branch in left arm. Ground line. Border of dots."
1106,"City gate, flanked by two towers with conical roofs; above, gallery of seven arches; surmounted by nude Poseidon, advancing left, holding trident in outstretched right hand, Hippocampus twining around left arm; mark of value E."
1107,"Emperor (Septimius Severus) in military attire standing facing, head left, wearing cuirass and boots, holding patera over lighted and garlanded altar in outstretched right hand, left resting on long sceptre; behind him Nike standing facing, head left, wearing long garment, crowning emperor with laurel wreath in right hand, holding palm branch in left arm. Ground line. Border of dots."
1108,"Athena standing facing, head left, wearing helmet and long garment, holding long sceptre in right hand and left resting onshield. Ground line. Border of dots."
1109,"Nude Zeus standing left, head right, cloak over left shoulder, holding patera in outstretched right hand, sceptre in left hand; at his feet, left, eagle standing left, head right, wings closed. Border of dots."
1110,"Roma seated left on cuirass, holding Nike, standing right, in outstretched right hand and spear in left arm; behind her, shield. Ground line. Border of dots."
1111,"Eagle standing facing on garlanded altar, head left, wings half-spread, holding a wreath in beak; between two standards. Border of dots."
1112,"Theos Megas standing left, wearing kalathos and himation, holding patera in outstretched right hand and cornucopia in left arm."
1113,"Demeter standing facing, head left, wearing long garment wraped over the shoulders, holding three ears of corn in lowered right hand, left resting on long torch. Ground line. Border of dots."
1114,"Laureate and cuirassed bust of bearded Caracalla, right, seen from behind."
1115,"Emperor (Septimius Severus) in military attire standing facing, head left, wearing helmet, cuirass and boots, holding spear in right hand, resting left hand on shield placed on ground; between two standards. Ground line. Border of dots."
1116,"Agonistic table with lion legs, left, surmounted by prize crowns and two palm branches inbetween; below, five apples and amphora."
1117,"Agonistic table, seen from front, surmounted by two prize crowns. Border of dots."
1118,"Laureate emperor (Septimius Severus) standing right, wearing cuirass, fluttering paludamentum and boots, holding sceptre in left arm, clasping right hands with city goddess standing left, holding cornucopia in left arm. Ground line. Border of dots."
1119,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand over a panther seated left, head upwards, with raised forepaw, pelleted and filleted thyrsus in left arm. Groundline. Border of dots."
1120,"Artemis standing facing, head right, wearing long garment and boots, holding bow in left hand and short torch in right hand, at her feet, hound to right. Border of dots."
1121,"Nude laureate Apollo standing facing, head left, holding laurel-branch in lowered right hand, resting left arm on short column. Ground line. Border of dots."
1122,Façade of an octastyle temple on double crepidoma with Corinthian columns and acroteria on roof. Border of dots.
1123,"Laureate bust of Septimius Severus, right, seen from front, wearing cuirass; on breastplate gorgoneion. Border of dots."
1124,"Turreted Tyche standing facing, head left, holding temple on outstretched right hand and cornucopia in left arm; thereon, temple. Ground line. Border of dots."
1125,"Nude Zeus standing left, head right, cloak over left shoulder, holding patera in outstretched right hand, sceptre in left hand; at his feet, left, eagle standing left, head right, wings half spread."
1126,"Bunch of grapes on vine branch within dotted linear square; below, in right field, cantharus; all within incuse square."
1127,"Nude Triptolemos standing in biga, right, drawn by two winged serpents, heads up, wearing fluttering chlamys, holding seeds in chlamys with left hand, sowing with right hand."
1128,"Nude youthful Heracles standing left, wearing lion skin over right shoulder, grasping with left hand Hydra by her left arm, standing facing in front of him, head right; about to strike with club in right hand over her head. Ground line. Border of dots."
1129,"Nude Apollo (Bonus Eventus) standing facing, head left, holding patera in outstretched right hand and laurel-branch in left hand. Ground line."
1130,"Nude bearded Heracles advancing right, lion skin over left shoulder, carying the Erymanthian Boar over left shoulder; at right, Eurystheus standing left in a pithos, begging with raised arms. Ground line. Border of dots."
1131,"Bunch of grapes on vine branch within dotted linear square; below, in left field, cantharus; all within incuse square."
1132,"Nude bearded Heracles advancing left, wearing lion skin over left shoulder; grasping the horns of the fleeing Cretan Bull. Ground line. Border of dots."
1133,"Nude bearded Heracles advancing right, in raised right hand club, over left arm lion skin; floating two cattle, leaping left, the rear looking backwards. Ground line. Border of dots."
1134,"Artemis standing facing, head left, wearing long garment, holding arrow in outstretched right hand and long lighted torch in left arm; at her feet, stag standing left."
1135,"Artemis standing facing, head left, wearing long garment, holding arrow in outstretched right hand and short torch in left arm."
1136,"Draped bust of Julia Domna, right. Border of dots."
1137,"Bunch of grapes on vine branch within dotted linear square; in right field, ivy leaf; all within incuse square."
1138,"Laureate head of Antoninus Pius, right, wearing paludamentum."
1139,"Draped bust of Julia Domna, right, seen from front. Border of dots."
1140,"Nude Heracles standing right, resting right hand on club, lion skin over left arm, holding bow in left arm."
1141,"Bunch of grapes on vine branch within dotted linear square; in lower left field, rhyton in shape of deer to right; all within incuse square."
1142,"Homonoia standing facing, head left, wearing kalathos and long garment, holding patera in outstretched right hand over lighted and garlanded altar and cornucopia in left arm; on paterNike flying right, holding wreath in right hand. Ground line. Border of dots."
1143,"Demeter enthroned left, holding two ears of corn in right hand, left resting on long torch. Ground line."
1144,"Bare-headed bust of youthful Caracalla, right, seen from front, wearing cuirass and paludamentum. Border of dots."
1145,"Poseidon seated right on rock, naked to waist, holding fish, right, in outstretched right hand and trident in left arm over his shoulder."
1146,"Turreted Cybele enthroned left (seat with lion feet), holding patera in outstretched right hand, left arm resting on tympanon; beside throne, lion lying to left."
1147,"Nude youthful Dionysus standing facing, head left, nebris over left shoulder to right hip, holding cantharus in right hand over panther seated left, head right, and filleted thyrsus in left arm. Ground line. Border of dots."
1148,"Laureate bust of lightly bearded Caracalla, right, wearing cuirass and paludamentum. Border of dots."
1149,"Emperor (Caracalla) in military attire standing facing, head left, wearing cuirass and boots, holding spear in right hand and parazonium in left hand; behind him, Nike standing left, crowning emperor with laurel wreath in left hand, holding palm branch in left arm. Ground line. Border of dots."
1150,"Dionysus with horns and on left Maenad standing in galloping biga, right; Dionysos wearing fluttering chlamys, holding the reins in both hands; Maenad standing right, holding an expanded veil in both hands. Ground line. Border of dots."
1151,"Galley, under full sail, sailing right, in waters; on board, five rowers in front of two standards."
1152,"Galley, under full sail, sailing right, in waters; on board, four rowers in front of two standards."
1153,"Galley, under full sail, sailing right, in waters; on board, five rowers and helmsman."
1154,"Prize crown, ornated. Border of dots. Ground line."
1155,"Emperor (Caracalla) in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding patera in outstretched right hand over lighted and garlanded altar, left resting on sceptre. Ground line. Border of dots."
1156,"Emperor (Caracalla) in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding patera in outstretched right hand and sceptre in left hand. Ground line. Border of dots."
1157,"Poseidon enthroned left, naked to waist, holding fish, left, in outstretched right hand and trident in left arm over his shoulder."
1158,"Artemis standing facing, head right, wearing long garment and boots, holding bow in left hand and short torch in right hand, at left side hound to left, head right. Ground line. Border of dots."
1159,"Nude athlete standing facing, head right, crowning himself with right hand, holding palm branch in left arm. Short ground line. Border of dots."
1160,"Turreted Tyche standing facing, head left, holding hexastyle temple in each outstretched hand; at her feet, lighted altar. Ground line. Border of dots."
1161,"Laureate bust of Caracalla, right, wearing paludamentum; with aegis on left shoulder. Border of dots."
1162,"Radiate bust of bearded Caracalla, left, wearing cuirass and paludamentum. Border of dots."
1163,"Laureate bust of Caracalla, right, seen from front, wearing cuirass, holding spear in left hand over left shoulder; on breastplate gorgoneion. Border of dots."
1164,"Emperor (Caracalla) in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding Nike with laurel wreath in outstretched right hand and eagle-sceptre in left hand. Ground line. Border of dots."
1165,"Emperor (Caracalla) in military attire standing in quadriga, left, wearing cuirass, fluttering paludamentum and boots, holding patera in outstretched right hand and eagle-sceptre in left arm. Ground line. Border of dots."
1166,"Nude bearded Heracles advancing left, head right, lion skin over shoulder, drawing arrow with right hand from quiver at back, holding bow in outstretched left hand; at right, three Stymphalian birds falling. Ground line. Border of dots."
1167,"At left, Demeter standing facing, head right, wearing wreath, holding long lit torch in left arm and two ears of corn with right hand over cista mystica on the left with half-open lid, to right, out of which serpent creeps, right; at right, Homonoia with kalathos standing facing, head left, holding a patera in outstretched right hand over lighted and garlanded altar to left and cornucopia in left arm. Ground line. Border of dots."
1168,"Radiate emperor (Caracalla) in military attire standing in quadriga, left, wearing paludamentum, holding prize crown in right hand and eagle-sceptre in left arm. Ground line. Border of dots."
1169,"Radiate emperor (Caracalla) in military attire standing in quadriga, right, wearing paludamentum, holding prize crown in right hand and eagle-sceptre in left arm. Ground line. Border of dots."
1170,"Emperor (Caracalla) in military attire standing in quadriga, left, wearing toga, holding eagle-sceptre in left hand. Ground line. Border of dots."
1171,"Confronted busts of youthful Caracalla, laureate, wearing cuirass and paludamentum, and of youthful Geta, wearing cuirass and paludamentum."
1172,"Cuirassed bust of youthful Geta, right, gorgoneion on breastplate. Border of dots."
1173,"Bare-headed bust of youthful Geta, right, wearing cuirass and paludamentum. Border of dots."
1174,"Nude Dionysus standing facing, head left, wearing boots, holding cantharus in right hand and thyrsus in left arm. Border of dots."
1175,Façade of hexastyle temple on crepidoma with Corinthian columns and three acroteria on roof. Border of dots.
1176,"Radiate bust of bearded Geta, right, wearing cuirass and paludamentum. Border of dots."
1177,"Two emperors (Caracalla and Geta) standing facing each other, clasping right hands; each wearing toga, holding a scroll in left hand. Ground line. Border of dots."
1178,"Athena standing facing, head left, wearing helmet and long garment, resting right hand on shield, holding long sceptre in left hand. Ground line. Border of dots."
1179,"Veiled Demeter standing facing, head right, holding long torch in right arm and ears of corn in raised left hand. Ground line. Border of dots."
1180,"Nemesis (Aequitas) standing facing, head left, holding scales in outstretched right hand and cornucopia in left arm. Border of dots."
1181,"Turreted Tyche standing facing, head left, holding octastyle temple on outstretched right hand and in left arm cornucopia. Border of dots."
1182,"Artemis (Tauropolos) advancing right, wearing a short chiton, fluttering cloak and boots, holding short torch in each hand. Ground line. Border of dots."
1183,"Laureate bust of bearded Geta, right, wearing cuirass and paludamentum; on breastplate gorgoneion. Border of dots."
1184,"Nude bearded Heracles advancing right, lion skin over left shoulder, carying the Erymanthian Boar with legs upwards over left shoulder; at right, Eurystheus standing left in a pithos, begging with raised arms. Ground line. Border of dots."
1185,"Nude bearded Heracles standing right, strangling in both hands the attacking Nemean lion, left; in exergue, club. Ground line. Border of dots."
1186,"Heracles standing right, wearing lion skin, holding club overhead in raised right hand and grasping with left hand Hippolyte's cloak, kneeling left, head right, raising both hands; in left upper field, horse head. Ground line. Border of dots."
1187,"Nude bearded Heracles standing facing, head left, holding lion skin and club in left arm and pater in right hand over garlanded, covered with fruits altar; eagle flying left over altar, head right. Ground line. Border of dots."
1188,"Radiate bust of Elagabalus, right, wearing scale cuirass and paludamentum. Border of dots."
1189,"Nude Apollo standing facing, head left, holding laurel-branch in right hand over inscribed altar, leaning left arm on tripod with serpent coiling left. Ground line. Border of dots."
1190,"Galley, under full sail, sailing right, in waters; on board, seven rowers and helmsman. Border of dots."
1191,"Galley, under full sail, sailing right, in waters; on board, six rowers in front of two standards. Border of dots."
1192,"Agonistic table with lion legs, left, surmounted by prize crowns containing palm branch each and purse inbetween; below, five apples and amphora."
1193,"Radiate emperor (Elagabalus) in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding patera in outstretched right hand over lighted altar, left resting on sceptre. Ground line. Border of dots."
1194,"Radiate emperor (Elagabalus) in military attire standing facing, head left, wearing cuirass, fluttering paludamentum and boots, holding patera in outstretched right hand, left resting on sceptre. Ground line. Border of dots."
1195,Two hexastyle temples in perspective facing each other; both on crepidoma and with a shield on the pediment. Border of dots.
1196,"Athena standing facing, head left, wearing long garment and helmet, holding patera in outstretched right hand and spear in left arm; left hand on shield placed on ground behind. Border of dots."
1197,"Nude athlete standing facing, head right, hair bound, holding palm branch over right shoulder with right hand and prize crown in left hand. Short ground line. Border of dots."
1198,"Nude athlete standing facing, head right, hair bound, right foot advanced, placing right hand into a prize urn. Border of dots."
1199,"Nude athlete standing facing, head left, hair bound, right foot advanced, placing right hand into a prize urn. Border of dots."
1200,"Nude athlete standing facing, head left, hair bound, right foot advanced, holding draw lot in right hand, placing left hand into a prize urn to right. Border of dots."
1201,"Laureate bust of Elagabalus, right, wearing cuirass and paludamentum, holding spear in right hand and shield at left shoulder. Border of dots."
1202,"Nude bearded Heracles advancing left, in raised right hand club, lion skin over left arm; floating two cattle, leaping left. Ground line. Border of dots."
1203,"Two octastyle temples in perspective facing each other; both on crepidoma; above, two prize urns, each containing two palm branches. Border of dots."
1204,"Demeter and Homonoia, clasping right hands over lighted and garlanded altar; to left, veiled Demeter standing right, wearing corn wreath; to right, Homonoia standing facing, head left, wearing kalathos, holding cornucopia in left arm. Ground line. Border of dots."
1205,"Radiate and togate emperor (Elagabalus) standing in quadriga, right, wearing toga, holding an aplustre in right hand and sceptre in left arm; in front, charioteer seated right; behind, Nike standing right on chariot basket, crowning emperor with laurel wreath, holding palm branch in left arm; in background, trophy on dais, on each side a captive seated right and left. Ground line. Border of dots."
1206,"Turreted Tyche enthroned left, holding an octastyle temple in each hand. Ground line. Border of dots."
1207,"Nude bearded Heracles standing facing, head right, lion skin over his left arm, resting right hand on club; at right, serpent (Ladon) coiling around apple tree of the Hesperides; in field above, crescent to left. Ground line. Border of dots."
1208,"Nude bearded Heracles standing facing, head left, holding lion skin and club in left arm and patera in outstretched right hand over lighted and garlanded altar; eagle flying left over altar, head right. Ground line. Border of dots."
1209,"Nemesis (Aequitas) standing facing, head left, holding scales in right hand and reins in left hand; at her feet, wheel. Border of dots."
1210,"Agonistic table, right, surmounted by two prize crowns, left one with purse, right one with five apples; below, amphora. Border of dots."
1211,"Galley, under full sail, sailing right, in waters; on board, nine rowers and helmsman in front of two standards. Border of dots."
1212,"Emperor (Severus Alexander) in military attire standing facing, head left, wearing cuirass and paludamentum, holding patera in outstretched right hand over lighted altar, left resting on sceptre."
1213,"Athena standing facing, head right, wearing long garment, cloak and helmet, holding long sceptre in right arm and patera in outstretched left hand; at her feet, shield placed on ground."
1214,"Homonoia standing facing, head left, holding patera in outstretched right hand over lighted and garlanded altar and cornucopia in left arm; behind her elephant tusk. Border of dots."
1215,"Octastyle temple in perspective, left; in pediment dot."
1216,"Nude athlete advancing left, head right, hair bound, holding wreath in outstretched right hand and palm branch in left arm. Short ground line. Border of dots."
1217,"Draped bust of Serapis, right, wearing kalathos. Border of dots."
1218,"Isis (Pharia) advancing right, holding sail with both hands and with left foot. Ground line."
1219,"Isis standing facing, head left, holding sistrum in outstretched right hand and situla in left hand."
1220,"Closed city gate, flanked by two round towers; above, gallery of six arches."
1221,"Laureate bust of youthful Severus Alexander, right, seen from front, wearing cuirass and paludamentum. Border of dots."
1222,"Laureate bust of Commodus, right, wearing scale cuirass and paludamentum."
1223,"Laureate bust of Severus Alexander, right, seen from front, wearing cuirass and paludamentum; with aegis on left shoulder, gorgoneion on breastplate. Border of dots."
1224,"Emperor (Commodus) riding horse galloping right, wearing fluttering paludamentum, holding spear in left hand. Ground line."
1225,"Turreted Tyche standing facing, head left, holding temple on outstretched right hand; in left arm cornucopia thereon temple; at her feet, prize crown thereon a purse and at right, a second with five apples on it. Ground line. Border of dots."
1226,"Emperor (Severus Alexander) in military attire riding right on horseback, covered with panther fur, wearing cuirass, fluttering paludamentum and boots, holding transverse spear in lowered right hand towards a captive in front of him seated left with Phrygian cap and bound arms behind back."
1227,"Emperor (Severus Alexander) in military attire riding right on horseback, covered with panther fur, wearing cuirass, fluttering paludamentum and boots, holding transverse spear in right hand."
1228,"Laureate and togate emperor (Severus Alexander) standing facing, head left, holding patera in outstretched right hand over lighted tripod, and a small scroll in left hand. Ground line. Border of dots."
1229,"On left, nude youthful Heros of Perinthus standing right, seen from behind, wearing chlamys over left shoulder, clasping right hands with Heracles standing left, lion skin over left arm, holding club in left hand. Ground line. Border of dots."
1230,"Ariadne and Dionysus; in the front, Ariadne lying left on rock, sleeping with arms behind her head, wearing double chiton, seen from front; at her feet, dog lying left, head right; in the middle, Dionysus standing facing, wearing ivy wreath and nebris over shoulder, holding thyrsus in right hand; left hand over the shoulder of a Silenus, standing facing, pointing at Ariadne with right hand; to right, a second Silenus standing facing, extending hands; to left, horned Pan with goat-legs, bouncing, holding a pedum in left hand,right hand on the shoulder of a silen, standing right, resting both hands on a stock. Border of dots."
1231,"Nemesis (Nike) standing facing, head left, right hand in front of her chest; holding palm branch in left arm; at her feet, wheel."
1232,"Athena standing facing, head left, wearing helmet, holding patera in outstretched right hand over lighted and garlanded altar and spear with shield in left arm. Ground line. Border of dots."
1233,"Closed city gate, flanked by two round towers; above door gallery of five arches."
1234,"Nude Apollo seated right on rock, holding lyre in both hands. Ground line."
1235,"Bust of bearded Lucius Verus, right, wearing cuirass and paludamentum. Border of dots."
1236,"Radiate bust of Gordian III, right, wearing cuirass and paludamentum. Border of dots."
1237,"Laureate bust of bearded Commodus, right."
1238,"Turreted Cybele seated left, on lion stepping right, holding tympanum in right hand, left resting on long sceptre."
1239,"Nude Apollo standing facing, head left, holding laurel-branch in right hand over garlanded altar, which is covered with five apples, leaning left arm on tripod with serpent coiling left. Ground line. Border of dots."
1240,"Turreted Cybele seated, head right, on lion jumping right, holding tympanum in right hand, left resting on long sceptre."
1241,"Veiled Demeter standing facing, holding two torches."
1242,"Veiled Demeter standing facing, head left, wearing corn wreath and long garment, holding two ears of corn in lowered right hand and sceptre entwined by serpent in left arm."
1243,"Galley, under full sail, sailing right, in waters; on board, eight rowers and helmsman in front of two standards; to right, dolphin swimming right. Border of dots."
1244,"Nike standing right, naked to waist, stepping with left foot on helmet; supporting shield on column with left hand, inscribing it with right hand. Ground line. Border of dots."
1245,"Nemesis standing facing, head left, right finger at her mouth, holding reins in left hand; at her feet, wheel."
1246,"Nude Ares standing facing, head left, wearing crested helmet, holding an unidentified object in right hand; at left shoulder shield. Border of dots."
1247,"Nude Apollo standing facing, head left, holding branch in right hand over lighted altar, leaning left arm on lyre standing on column."
1248,"Nude Apollo standing facing, head left, holding branch in right hand, leaning left arm on lyre standing on short column."
